lake,year,taxa,density,avg_drymass_g,avg_drymass_mg,miv_arealbiomass_mg.m2
113,2019,Hirudinea,48.07692307,0.008742985,8.742985297,420.3358316
113,2019,Oligochaeta,284.1880342,0.011529591,11.52959096,3276.571789
113,2019,Physidae,57.69230769,0.003777425,3.777424612,217.928343
113,2019,Planorbidae,115.3846154,0.002074428,2.074428177,239.3570974
113,2019,Sialidae,19.23076923,9.88E-04,0.987765115,18.99548298
113,2019,Sphaeriidae,81.73076922,3.85E-04,0.38511422,31.47568142
113,2019,Trichoptera,19.23076923,0.007037696,7.037696267,135.3403128
113,2020,Chironomidae,199.5192308,4.37E-04,0.436712425,87.13252704
113,2020,Dreissenidae,294.8717949,0.077597546,77.5975459,22881.32764
113,2020,Gammaridae,6.41025641,5.36E-04,0.535581568,3.433215179
113,2020,Hirudinea,6.41025641,0.00602761,6.027610142,38.63852655
113,2020,Oligochaeta,92.14743591,0.004628119,4.628118753,426.4692762
113,2020,Sialidae,19.23076923,0.004299753,4.299752773,82.68755332
113,2020,Sphaeriidae,56.08974359,0.001477524,1.477524473,82.87396882
113,2020,Trichoptera,9.615384615,0.007102602,7.102601779,68.29424787
406,2018,Chaoboridae,206.5217391,5.35E-05,0.053531364,11.05539043
406,2018,Chironomidae,167.7018634,4.57E-04,0.457195021,76.67245694
406,2018,Oligochaeta,95.65217391,0.001819836,1.819836075,174.0712767
406,2018,Sphaeriidae,86.95652174,1.12E-04,0.112416551,9.775352236
406,2019,Chironomidae,69.23076923,2.68E-04,0.26751734,18.52043124
406,2019,Oligochaeta,9.615384615,2.93E-04,0.293014226,2.81744448
406,2019,Planorbidae,28.84615385,0.001605117,1.605117051,46.3014534
406,2019,Sphaeriidae,9.615384615,1.12E-04,0.112416551,1.080928372
406,2020,Chaoboridae,8.012820513,1.05E-04,0.105151331,0.842558746
406,2020,Chironomidae,50.48076923,4.78E-04,0.478237735,24.14180876
406,2020,Oligochaeta,48.07692308,0.001114488,1.114487899,53.581149
