sampleid,taxa,count,measurement,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
P18012243007,planorbidae,1,AW,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243007,diptera,1,BL,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243007,diptera,1,HW,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243007,chironomidae,4,BL,5.54,6.35,7.4,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243007,chironomidae,4,HW,0.4,0.31,0.27,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,chironomidae,4,BL,4.3,22.02,6.8,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,chironomidae,4,HW,0.3,0.51,0.47,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,chaoboridae,9,BL,6.01,6.58,7.52,5.18,6.26,5.76,6.1,7.24,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,chaoboridae,9,HW,0.57,0.65,0.66,0.45,0.6,0.55,0.44,0.59,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,diptera,5,BL,4.05,4.18,4.86,4.55,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,diptera,5,HW,0.54,0.51,0.59,0.58,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243002,oligochaeta,6,BL,2.66,7.62,2.37,5.39,5.56,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,physidae,5,SL,3.83,3.97,3.42,5.1,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,physidae,5,AL,1.63,2.84,2.27,3.01,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,physidae,5,AW,1.27,1.31,1.17,1.89,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,planorbidae,1,SL,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,planorbidae,1,AL,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243003,planorbidae,1,AW,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,chaoboridae,5,BL,7.13,7.95,6.57,4.73,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,chaoboridae,5,HW,0.4,0.56,0.52,0.48,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,chironomidae,3,BL,5.22,5.97,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,chironomidae,3,HW,0.39,0.33,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,diptera,1,BL,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,diptera,1,HW,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,planorbidae,1,SL,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,planorbidae,1,AW,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,planorbidae,1,AL,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243004,oligochaeta,3,BL,3.78,2.71,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,chaoboridae,1,BL,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,chaoboridae,1,HW,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,chironomidae,6,BL,5.72,8.18,9.43,5.38,14.24,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,chironomidae,6,HW,0.27,0.37,0.33,0.33,0.48,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,physidae,2,SL,5.86,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,physidae,2,AL,4.12,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,physidae,2,AW,2.12,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243005,oligochaeta,2,BL,32.84,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,physidae,1,SL,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,physidae,1,AL,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,physidae,1,AW,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,chironomidae,6,BL,4.83,5.42,6.34,5.33,6.65,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,chironomidae,6,HW,0.33,0.33,0.45,0.32,0.37,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,planorbidae,2,SL,2.84,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,planorbidae,2,AL,1.39,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243006,planorbidae,2,AW,1.2,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,chaoboridae,9,BL,7.11,10.84,6.19,6.75,7.83,6.82,6,8.25,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,chaoboridae,9,HW,0.68,0.56,0.52,0.5,0.63,0.54,0.36,0.63,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,diptera,2,BL,5.88,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,diptera,2,HW,0.57,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,hirudinea,1,BL,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,chironomidae,1,BL,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243008,chironomidae,1,HW,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,diptera,5,BL,6.22,5.08,4.15,4.21,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,diptera,5,HW,0.43,0.42,0.45,0.45,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,chaoboridae,14,BL,6.2,6.63,6.8,6.37,7.13,7.25,8.03,7.55,9.8,7.6,7.3,6.04,6.85,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,chaoboridae,14,HW,0.51,0.43,0.45,0.46,0.53,0.55,0.42,0.5,0.56,0.54,0.51,0.46,0.45,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,chironomidae,2,BL,2.87,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,chironomidae,2,HW,0.3,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243009,oligochaeta,1,BL,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,physidae,4,SL,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,physidae,4,AL,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,physidae,4,AW,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,planorbidae,3,SL,3.86,3.25,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,planorbidae,3,AL,2.91,1.22,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18012243010,planorbidae,3,AW,1.23,1.19,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183001,chironomidae,4,BL,4.32,6.19,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183001,chironomidae,4,HW,0.36,0.37,0.55,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183001,oligochaeta,6,BL,16.77,2.25,2.97,3.37,8.15,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183002,chironomidae,34,BL,6.09,7.9,15.51,8.16,18.51,14.16,11.91,6.32,7.58,6.9,9.82,7.37,7.84,6.71,9,19.12,12.69,14.47,9.44,8.78,11.34,7.16,12.43,7.22,11.72,12.86,7.42,13.85,6.89,6.19,7.44,7.04,11.82,15.51,,,,,,,,,
P18090183002,chironomidae,34,HW,0.27,0.28,0.48,0.26,0.5,0.41,0.44,0.27,0.24,0.38,0.43,0.24,0.49,0.38,0.45,0.49,0.41,0.52,0.4,0.38,0.37,0.48,0.41,0.25,0.4,0.39,0.39,0.43,0.26,0.26,0.32,0.38,0.43,0.5,,,,,,,,,
P18090183002,chaoboridae,1,BL,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183002,chaoboridae,1,HW,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183002,oligochaeta,6,BL,4.89,3.4,6.24,4.03,5.23,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183002,diptera,2,BL,4.58,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183002,diptera,2,HW,0.5,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183003,chironomidae,10,BL,22.12,14.5,23.1,14.59,9.83,21.17,10.59,15.84,15.77,20.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183003,chironomidae,10,HW,0.64,0.41,0.61,0.35,0.56,0.54,0.42,0.63,0.43,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183003,oligochaeta,1,BL,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,chironomidae,14,BL,20.03,23.27,20.84,17.92,12.84,23.21,17.71,10.1,22.87,14.76,22.64,15.63,13.82,22.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,chironomidae,14,HW,0.55,0.63,0.58,0.55,0.59,0.6,0.61,0.51,0.42,0.57,0.6,0.62,0.49,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,ceratopogonidae,1,BL,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,ceratopogonidae,1,HW,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,ephemeroptera,1,BL,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183004,ephemeroptera,1,HW,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183005,oligochaeta,2,BL,11.95,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183005,chironomidae,15,BL,24.79,15.47,12.29,17.41,10.75,6.06,21.71,19.63,14.28,25.15,20.72,23.19,23.88,21.87,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183005,chironomidae,15,HW,0.57,0.42,0.41,0.64,0.45,0.44,0.66,0.58,0.39,0.59,0.58,0.62,0.6,0.58,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183006,chironomidae,15,BL,21.21,21.34,23.63,23.43,21.91,20.8,21.2,22.58,8.66,24.94,13.92,22.98,10.12,22.05,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183006,chironomidae,15,HW,0.58,0.54,0.63,0.56,0.56,0.54,0.6,0.54,0.48,0.62,0.4,0.53,0.5,0.54,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183007,chironomidae,10,BL,16.67,19.26,13.75,23.95,13.68,12.5,11.65,24.91,14.22,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183007,chironomidae,10,HW,0.41,0.59,0.39,0.54,0.42,0.45,0.41,0.59,0.4,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183007,oligochaeta,2,BL,3.81,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183008,chironomidae,15,BL,22.67,21.83,23.91,23.32,19.86,19.94,23.52,22.25,21.43,24.28,24.03,20.93,23.26,15.44,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183008,chironomidae,15,HW,0.58,0.62,0.54,0.56,0.53,0.47,0.57,0.5,0.55,0.52,0.53,0.51,0.6,0.42,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183008,hirudinea,1,BL,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183009,chironomidae,NA,BL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183009,chironomidae,NA,HW,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183009,trichoptera,1,BL,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183009,trichoptera,1,HW,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183010,chironomidae,3,BL,21.97,20.97,23.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183010,chironomidae,3,HW,0.51,0.59,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18090183010,oligochaeta,1,BL,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163001,oligochaeta,6,BL,13.03,6.56,6.87,16.84,10.16,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163001,ceratopogonidae,1,BL,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163001,ceratopogonidae,1,HW,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163002,oligochaeta,6,BL,13.88,13.12,7.56,7.32,22.36,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163002,diptera,1,BL,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163002,diptera,1,HW,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163003,chaoboridae,1,BL,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163003,chaoboridae,1,ASL,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163003,oligochaeta,7,BL,9.48,15.32,16.46,17.47,9.62,11.68,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163004,oligochaeta,1,BL,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163004,chironomidae,3,BL,5.9,12.43,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163004,chironomidae,3,HW,0.27,0.48,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163005,chaoboridae,1,ASL,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163005,ceratopogonidae,1,BL,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163005,ceratopogonidae,1,HW,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163005,chironomidae,5,BL,8.5,10.84,16.78,18.26,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163005,chironomidae,5,HW,0.33,0.58,0.47,0.57,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163006,oligochaeta,3,BL,15.83,9,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163007,chironomidae,14,BL,3.28,6.46,4.73,5.3,34,5.52,4.22,3.74,4.29,19.83,3.68,6.26,6.58,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163007,chironomidae,14,HW,0.42,0.28,0.34,0.32,0.61,0.32,0.4,0.33,0.32,0.38,0.3,0.49,0.46,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163007,ceratopogonidae,3,BL,9.41,8.7,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163007,ceratopogonidae,3,HW,0.27,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163007,oligochaeta,1,BL,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163008,chironomidae,9,BL,4.65,13.04,10.44,8.83,5.06,5.32,5.15,6.57,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163008,chironomidae,9,HW,0.27,0.46,0.31,0.43,0.41,0.33,0.36,0.35,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163009,oligochaeta,8,BL,7.16,15.13,9.29,8.59,12.31,8.48,9.8,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163010,chironomidae,4,BL,4.25,6.29,6.3,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163010,chironomidae,4,HW,0.38,0.33,0.32,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163010,oligochaeta,4,BL,12.65,10.94,8.65,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163010,chaoboridae,4,ASL,0.41,0.31,0.42,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18019163010,chaoboridae,4,BL,3.83,4.99,7.21,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163001,oligochaeta,7,BL,4.19,12.56,9.59,18.03,5.31,5.87,15.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163002,chironomidae,18,BL,5.21,7.91,4.63,4.36,5.6,4.17,5.76,4.67,5.66,6.83,6.56,3.95,8.03,5.6,4.97,4.48,4.92,8.62,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163002,chironomidae,18,HW,0.21,0.3,0.23,0.31,0.39,0.31,0.34,0.25,0.38,0.23,0.19,0.3,0.31,0.32,0.48,0.3,0.32,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163002,ephemeroptera,2,BL,10.79,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163002,ephemeroptera,2,HW,1.31,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163002,oligochaeta,4,BL,11.05,9.51,14.75,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163003,oligochaeta,1,BL,21.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,ceratopogonidae,1,HW,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,ceratopogonidae,1,BL,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,chironomidae,2,BL,5.63,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,chironomidae,2,HW,0.26,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,ephemeroptera,1,BL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163004,ephemeroptera,1,HW,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163005,chironomidae,6,BL,8.32,9.14,10.68,7.72,6.66,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163005,chironomidae,6,HW,0.34,0.52,0.34,0.47,0.67,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163005,oligochaeta,3,BL,15.55,10.06,12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163006,ephemeroptera,1,BL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163006,ephemeroptera,1,HW,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163006,chironomidae,5,BL,7.34,5.56,7.69,8.37,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163006,chironomidae,5,HW,0.31,0.37,0.38,0.4,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163006,diptera,1,BL,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163007,chironomidae,3,BL,10.18,5.31,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163007,chironomidae,3,HW,0.35,0.6,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163007,oligochaeta,2,BL,12.49,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163008,chironomidae,3,BL,7.38,8.93,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163008,chironomidae,3,HW,0.33,0.52,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163008,oligochaeta,1,BL,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163009,chironomidae,14,BL,14.81,10.02,4.93,3.71,5.21,4.28,4.44,5.32,6.16,8.23,5.89,13.3,6.16,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163009,chironomidae,14,HW,0.41,0.33,0.38,0.39,0.34,0.39,0.35,0.35,0.45,0.61,0.33,0.44,0.46,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163009,trichoptera,1,BL,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163009,trichoptera,1,HW,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163009,oligochaeta,3,BL,9.02,10.53,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163010,chironomidae,5,BL,5.62,11.36,5.32,5.6,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18036163010,chironomidae,5,HW,0.31,0.36,0.21,0.32,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163001,no organisms ,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,planorbidae,3,SL,3.26,3.84,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,planorbidae,3,AW,1.86,2.26,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,planorbidae,3,AL,1.54,1.6,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,chironomidae,7,BL,21.31,7.24,6.99,5.88,3.45,22.66,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,chironomidae,7,HW,0.59,0.31,0.47,0.34,0.34,0.52,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18105163002,corbiculidae,4,SL,2.68,2.26,2.62,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
