SampleID,Lake_No,DOY,Round,DUP,Date Count,Sample_Vol,Subsample_Vol,Counter,Notes,TOW.DEPTH
A19058217009,58,217,2,,8/27/2019,26,1,BH,,2.7
A19058260006,58,260,3,,11/22/2019,34,4,KF,,4.3
A19059168006,59,168,1,,7/8/2019,115,1,BH,,1.3
A19059217007,59,217,2,,8/27/2019,31,1,BH,,3.1
A19059260002,59,260,3,,11/25/2019,34,1,KF,,3.5
A19060161009,60,161,1,,6/27/2019,49,2,BH,,1.8
A19060210003,60,210,2,,8/16/2019,28,1,KF,,1.75
A19060253004,60,253,3,,11/7/2019,20,2,BH,,1.6
A19061168010,61,168,1,,7/9/2019,47,1,BH,,1.8
A19061217001,61,217,2,,8/29/2019,28,3,BH,,1.5
A19061259004,61,259,3,,11/15/2019,28,1,KF,,5.7
A19062176004,62,176,1,,7/12/2019,42,2,KF,,2
A19062224004,62,224,2,,9/11/2019,61,1,KF,,4.9
A19062267002,62,267,3,,,,,,,6.1
A19063155008,63,155,1,,6/20/2019,48,1,KC,,3.15
A19063197003,63,197,2,,8/1/2019,75,4,BH,,1.9
A19063241002,63,241,3,,10/10/2019,51,1,BH,,4.2
A19064149004,64,149,1,,6/14/2019,47,3,BH,,4.5
A19064203008,64,203,2,,8/13/2019,30,5,BH,,4.1
A19064246004,64,246,3,,10/25/2019,29,1,KF,,4
A19065168004,65,168,1,,7/10/2019,31,1,BH,,3
A19066161003,66,161,1,,6/25/2019,50,1,BH,,2
A19066210008,66,210,2,,8/16/2019,43,2,BH,,2.9
A19066252003,66,251,3,,11/6/2019,39,1,KF,,3.5
A19067161006,67,161,1,,6/28/2019,44,1,KF,,2
A19067211007,67,211,2,,8/22/2019,40,1,KF,,2
A19067251009,67,251,3,,11/14/2019,37,1,BH,,1.6
A19068148003,68,148,1,,6/12/2019,77,1,KC,,7.5
A19068204003,68,204,2,,8/7/2019,27,7,BH,,1.8
A19068246009,68,246,3,,10/25/2019,36,1,KF,,4.3
A19069150004,69,150,1,,6/13/2019,60,1,BH,,2
A19069204008,69,204,2,,8/6/2019,43,1,BH,,1.1
A19069248001,69,248,3,,10/30/2019,27,1,KF,,2.1
A19070154010,70,154,1,,6/19/2019,50,1,BH,,1.2
A19070196010,70,196,2,,7/29/2019,29,2,BH,,1.5
A19070240001,70,240,3,,10/11/2019,32,2,KF,,5.5
A19071155006,71,155,1,,6/21/2019,70,2,BH,,2.3
A19071197001,71,197,2,,7/31/2019,36,2,BH,,1.6
A19071240003,71,240,3,,10/10/2019,38,2,BH,,4.5
A19072154003,72,154,1,,6/20/2019,40,3,KC,,9
A19072196009,72,196,2,,8/1/2019,42,1,BH,,2
A19072239003,72,239,3,,10/18/2019,52,2,KF,,6.4
A19073140007,73,140,1,,5/23/2019,74,2,BH,,5.7
A19073189010,73,189,2,,7/18/2019,45,1,KC,,3
A19073231006,73,231,3,,9/26/2019,26,2,BH,,4.4
A19074148004,74,148,1,,6/13/2019,74,1,KC,,2.4
A19074203002,74,203,2,,8/12/2019,34,1,BH,,2.1
A19074246007,74,246,3,,10/24/2019,43,2,BH,,2
A19075177012,75,177,1,,7/10/2019,39,1,KC,,3
A19075225007,75,225,2,,9/10/2019,26,1,BH,,3
A19075266006,75,266,3,,,,,,,2.8
A19076162005,76,162,1,,6/28/2019,53,1,BH,,2.25
A19076211009,76,211,2,,8/19/2019,21,3,KF,,3.5
A19076251007,76,251,3,,11/1/2019,25,1,KF,,2.8
A19077150001,77,150,1,,6/12/2019,74,1,BH,,3.5
A19077204005,77,204,2,,8/14/2019,38,1,BH,,3.2
A19077247002,77,247,3,,10/24/2019,52,1,BH,,3.1
A19078149006,78,148,1,,6/14/2019,22,3,BH,,1.3
A19078203009,78,203,2,,8/7/2019,27,6,BH,,1
A19078246005,78,246,3,,10/25/2019,30,2,KF,,1
A19079177011,79,177,1,,7/10/2019,46,1,KC,,1.4
A19079225005,79,225,2,,9/10/2019,29,1,BH,,3
A19079266004,79,266,3,,12/10/2019,34,2,BH,,4.1
A19080142008,80,142,1,,6/3/2019,25,1,BH,,1.8
A19080190008,80,190,2,,7/25/2019,46,1,KC,,1.2
A19080232008,80,232,3,,10/3/2019,28,1,BH,,1.6
A19082162001,82,162,1,,7/2/2019,54,1,BH,,2.5
A19082211008,82,211,2,,8/23/2019,38,2,BH,,1.3
A19082251011,82,251,3,,11/14/2019,38,1,BH,,1
A19083176009,83,176,1,,7/15/2019,31,1,KF,,4.9
A19083224009,83,224,2,,9/3/2019,23,1,BH,,4.9
A19083268003,83,268,3,,12/12/2019,30,2,BH,,5
A19084148002,84,148,1,,6/14/2019,49,1,BH,,4
A19084204002,84,204,2,,8/8/2019,19,1,BH,,3.4
A19084246010,84,246,3,,10/22/2019,36,1,BH,,3.8
A19085176010,85,176,1,,7/11/2019,33,1,BH,,1.6
A19085224010,85,224,2,,9/12/2019,29,4,BH,,2.1
A19085268004,85,268,3,,12/3/2019,34,4,BH,,3.9
A19086140004,86,140,1,,5/24/2019,131,1,BH,,5.4
A19086189002,86,189,2,,7/15/2019,40,1,KF,,1.5
A19086231003,86,231,3,,10/2/2019,33,1,KF,,2.9
A19087162008,119,162,1,,6/26/2019,44,1,BH,,2.2
A19087211002,87,211,2,,8/15/2019,31,1,KF,,3.4
A19087251013,87,251,3,,11/1/2019,27,1,KF,,8
A19088142007,88,142,1,,5/31/2019,11,1,BH,,4.6
A19088189011,88,189,2,,7/29/2019,42,1,BH,,1.6
A19088231008,88,231,3,,9/26/2019,31,2,BH,,4.6
A19089154001,89,154,1,,6/19/2019,37,3,BH,,1.3
A19089196007,89,196,2,,7/31/2019,24,2,KF,,1.6
A19089239001,89,239,3,,10/17/2019,34,4,BH,,3.8
A19090143004,90,143,1,,5/24/2019,131,1,BH,,2.5
A19090190003,90,190,2,,7/22/2019,37,1,BH,,2.4
A19090232003,90,232,3,,9/20/2019,45,1,KF,,2.3
A19091142004,91,142,1,,5/28/2019,30,1,JR,,3.2
A19091189003,91,189,2,,7/16/2019,51,1,KF,,1.2
A19091231012,91,231,3,,9/23/2019,29,2,BH,,3.3
A19092169005,92,169,1,,7/9/2019,30,1,KF,,1.4
A19092219004,92,219,2,,8/30/2019,30,1,KF,,3
A19092258002,92,258,3,,11/19/2019,33,2,BH,,5.9
A19093155007,93,155,1,,6/24/2019,53,2,KC,,0.6
A19093197002,93,197,2,,7/30/2019,32,4,KF,,0.5
A19093240002,93,240,3,,10/17/2019,23,3,BH,not 60 organisms ,0.5
A19094161001,94,161,1,,7/1/2019,68,1,BH,,1.9
A19094210006,94,210,2,,8/19/2019,33,1,BH,,1.9
A19094252005,94,251,3,,11/8/2019,35,1,KF,,2
A19095168001,95,168,1,,7/3/2019,31,1,BH,,4.9
A19095219003,95,219,2,,8/28/2019,32,1,KF,,4.4
A19095259001,95,258,3,,11/23/2019,37,1,KF,,6.9
A19096154007,96,154,1,,6/10/2019,71,2,BH,,1.34
A19096196003,96,196,2,,8/2/2019,30,1,BH,,2
A19096238002,96,238,3,,10/18/2019,28,1,KF,,3.7
A19097162004,97,162,1,,6/25/2019,38,2,KF,,2.8
A19097211003,97,211,2,,8/20/2019,37,1,BH,,5.1
A19097253001,97,253,3,,11/11/2019,38,6,BH,,5.6
A19098154007,98,154,1,,6/24/2019,48,6,KC,,1.5
A19098196006,98,196,2,,7/30/2019,26,7,BH,,6.5
A19098241001,98,241,3,,10/11/2019,30,3,KF,,9
A19099155010,99,155,1,,6/18/2019,85,2,BH,,2
A19099197004,99,197,2,,7/31/2019,39,1,KF,,1.6
A19099240004,99,240,3,,10/10/2019,35,1,BH,,3.8
A19101168005,101,168,1,,7/8/2018,50,1,KF,,8.3
A19101217004,101,217,2,,8/23/2019,30,1,BH,,1.7
A19101260001,101,260,3,,11/16/2019,25,1,KF,,4.6
A19102218003,102,218,2,,8/30/2019,33,1,KF,,3.4
A19102170005,102,170,1,,7/10/2019,40,1,KC,,3.7
A19102261002,102,261,3,,11/18/2019,36,1,BH,,3.7
A19103176007,103,176,1,,7/12/2019,100,5,KF,,2.1
A19103224007,103,224,2,,9/6/2019,35,1,KF,,2.9
A19103268002,103,268,3,,12/9/2019,43,1,BH,,3.7
A19105148006,105,148,1,,6/13/2019,35,3,KC,,2.1
A19105203004,105,203,2,,8/15/2019,41,1,KF,,1.9
A19105247005,105,247,3,,10/30/2019,50,1,KF,,1.7
A19107176008,107,176,1,,7/12/2019,50,1,BH,,3
A19107224008,107,224,2,,9/11/2019,29,1,KF,,2.1
A19107266001,107,266,3,,12/5/2019,41,2,BH,,2.8
A19108149003,108,149,1,,6/16/2019,65,1,BH,,1
A19108204004,108,204,2,,8/6/2019,54,1,BH,,1
A19108247001,108,247,3,,10/31/2019,57,7,BH,,0.9
A19109154002,109,154,1,,6/6/2019,38,2,KC,,1.1
A19109196008,109,196,2,,7/31/2019,31,2,BH,,2
A19109239002,109,239,3,,10/18/2019,32,1,KF,,3.8
A19110177009,110,177,1,,7/11/2019,29,1,BH,,1.1
A19110224015,110,224,2,,9/5/2019,33,1,BH,,2.3
A19110266003,110,266,3,,12/13/2019,25,1,KF,,3.7
A19111143002,111,N/A,1,,6/1/2019,132,2,BH,,0.8
A19111190004,111,190,2,,7/22/2019,32,1,KF,,1.3
A19111232004,111,232,3,,10/8/2019,35,1,BH,,0.8
A19112143003,112,143,1,,6/1/2019,137,5,BH,,3.12
A19112190010,112,190,2,,7/26/2019,58,1,KC,,1.2
A19112232010,112,232,3,,10/7/2019,38,1,BH,,3.4
A19113140001,113,140,1,,5/23/2019,62,2,BH,,2.2
A19113189005,113,189,2,,7/18/2019,40,2,KF,,2.1
A19113231010,113,231,3,,10/4/2019,33,2,KF,,1.9
A19114142005,114,142,1,,5/28/2019,18,1,BH,,2.3
A19114190009,114,190,2,,7/22/2019,39,1,BH,,1.8
A19114232009,114,232,3,,10/9/2019,34,1,KF,,2.5
A19115155001,115,155,1,,6/24/2019,138,1,BH,,1.3
A19115198003,115,198,2,,7/30/2019,42,2,BH,,1.4
A19115239007,115,239,3,,10/15/2019,35,1,BH,,1.8
A19116162013,116,162,1,,6/28/2019,61,1,BH,,2.4
A19116211010,116,211,2,,8/19/2019,31,1,BH,,5.4
A19116251005,116,251,3,,11/7/2019,22,2,BH,,7
A19119162012,119,162,1,,6/28/2019,50,1,KC,,1.7
A19119211005,119,211,2,,8/22/2019,40,1,KF,,5.1
A19119251002,119,251,3,,11/14/2019,44,2,BH,,6.8
A19120169004,120,169,1,,7/3/2019,45,3,KC,,1.7
A19120219005,120,219,2,,8/29/2019,31,1,BH,,1.1
A19120258001,120,258,3,,11/22/2019,34,1,KF,,3.3
A19121149002,121,149,1,,6/17/2019,44,5,BH,,2.1
A19121203007,121,203,2,,8/9/2019,25,11,BH,,1.6
A19121246003,121,246,3,,10/29/2019,27,2,BH,,1.4
A19122177010,122,177,1,,7/10/2019,35,2,KC,,1.9
A19122225006,122,225,2,,9/12/2019,23,1,BH,,2.9
A19122266005,122,266,3,,12/5/2019,33,2,BH,,3.5
A19123161010,123,161,1,,6/25/2019,48,1,BH,,2.8
A19123210005,123,210,2,,8/16/2019,28,2,BH,,7.4
A19124176005,124,176,1,,7/15/2019,39,1,KF,,4.2
A19124224005,124,224,2,,9/20/2019,31,1,KF,,3.2
A19124267001,124,267,3,,12/13/2019,34,2,KF,,5.8
A19125149005,125,149,1,,6/5/2019,53,2,KC,,9
A19125203005,125,203,2,,8/14/2019,44,4,BH,,9
A19125246001,125,246,3,,10/25/2019,38,1,KF,,9
A19126155002,126,155,1,,6/24/2019,131,3,KC,,3.4
A19126198001,126,198,2,,8/2/2019,41,4,BH,,2.4
A19126239005,126,239,3,,10/19/2019,31,1,KF,,5.2
A19127168007,127,168,1,,7/9/2019,48,1,BH,,2.3
A19127217003,127,217,2,,8/27/2019,41,1,BH,,1.6
A19127260003,127,260,3,,11/22/2019,40,1,KF,,1.5
A19128155009,128,155,1,,6/19/2019,52,1,BH,,1.5
A19128197005,128,197,2,,7/30/2019,42,1,BH,,1.3
A19128240005,128,240,3,,10/21/2019,43,1,BH,,3.3
A19129140011,129,140,1,,5/22/2019,49,3,JR,,3.2
A19129190007,129,190,2,,7/22/2019,51,1,BH,,2.8
A19129232007,129,232,3,,10/3/2019,32,2,BH,,4.6
A19130161004,130,161,1,,6/25/2019,44,1,BH,,2
A19130210009,130,210,2,,8/22/2019,20,1,KF,,2.1
A19130252002,130,251,3,,11/8/2019,19,1,KF,,2.5
A19131161002,131,161,1,,7/1/2019,42,1,BH,,3.2
A19131210007,131,210,2,,8/16/2019,32,1,KF,,2.6
A19131252004,131,251,3,,11/1/2019,29,1,KF,,1.7
A19132142006,132,142,1,,5/31/2019,15,1,BH,,5
A19132189006,132,189,2,,7/18/2019,40,1,KF,,3.9
A19132231011,132,231,3,,10/9/2019,34,2,KF,,5.2
A19205170001,205,170,1,,7/8/2019,37,2,KF,,1.5
A19205217008,205,217,2,,8/29/2019,30,1,BH,,2.3
A19205260005,205,260,3,,11/21/2019,24,2,BH,,4.6
A19245162007,245,162,1,,6/28/2019,40,1,KC,,2.2
A19245211001,245,211,2,,8/19/2019,34,1,KF,Not 60 organisms,2.9
A19245251006,245,251,3,,11/7/2019,25,1,BH,,3.2
A19257140009,257,140,1,,12/12/2019,46,12,BH,No 60 organisms,1.4
A19257189008,257,189,2,,7/19/2019,32,3,KF,,1.6
A19257231009,257,231,3,,10/2/2019,24,2,KF,,1.6
A19259162011,259,162,1,,2/27/2019,48,1,KF,,2
A19259211011,259,211,2,,8/23/2019,37,1,BH,,2.5
A19259251008,259,251,3,,11/15/2019,50,1,KF,,2.7
A19300154006,300,154,1,,6/20/2019,48,1,KC,,1.3
A19300196004,300,196,2,,8/5/2019,30,1,BH,,1.6
A19300238001,300,238,3,,10/14/2019,33,1,BH,,2.6
A19301176002,301,176,1,,7/11/2019,29,1,KF,,3.7
A19301224002,301,224,2,,9/10/2019,31,1,BH,,3.9
A19301267004,301,267,3,,12/12/2019,23,1,BH,,4.1
A19304168003,304,168,1,,7/5/2019,41,1,BH,,3.9
A19304217010,304,217,2,,8/23/2019,26,1,KF,,2.2
A19304259003,304,258,3,,11/21/2019,43,1,BH,,5.4
A19400177006,400,177,1,,7/11/2019,21,1,KF,,1.8
A19400225008,400,225,2,,9/18/2019,30,1,KF,,3.4
A19400265003,400,265,3,,12/1/2019,18,1,KF,,7.8
A19038266002,38,266,3,,12/29/2019,43,1,KF,,3.7
A19056267003,56,267,3,,12/12/2019,30,2,BH,,3.1
A19062267002,62,267,3,,12/29/2019,28,2,KF,,6.1
A19075266006,75,266,3,,12/29/2019,36,2,ES,,2.8
A19301267004,301,267,3,,12/29/2019,23,1,BH,,4.1
